Cod_setor;V011
240220405000034;530,09
240220405000035;493,88
240230305000001;530,07
240230305000002;864,01
240230305000003;617,29
240230305000004;484,78
240230305000005;428,64
240230305000006;345,56
240230305000007;438,32
240230305000008;950,64
240230305000009;420,66
240230305000010;958,62
240230305000011;669,8
240230305000012;570,82
240230305000013;411,34
240230305000014;365,6
240230305000015;411,34
240230305000016;297,29
240230305000017;381,29
240230305000018;221,23
240230305000019;527,6
240230305000020;419,18
240230305000021;380,28
240230305000022;386,11
240230305000023;728,61
240230305000024;1022,75
240230305000025;385,75
240230305000026;394,46
240230305000027;510
240230310000001;506,76
240230310000002;458,5
240230310000003;444,79
240230310000004;366,41
240230310000005;351,31
240230310000006;397,49
240240205000001;630,16
240240205000002;524,47
240240205000003;780,04
240240205000004;532,95
240240205000005;541,95
240240205000006;459,5
240240205000007;703,22
240240205000008;907,83
240240205000009;557,3
240240205000010;682,14
240240205000011;632,29
240240205000012;552,31
240240205000013;776,76
240240205000014;553,2
240250105000001;703,38
240250105000002;576,11
240250105000003;726,89
240250105000004;586,35
240250105000005;396,32
240250105000006;372,47
240250105000007;425,24
240250105000008;367,71
240250105000009;393,44
240250105000010;497,37
240250105000011;426,75
240250105000012;861,31
240250105000013;547,92
240250105000014;415,98
240250105000015;756,93
240250105000016;403,3
240250105000017;629,76
240250105000018;385,85
240260005000001;1144,55
240260005000002;748,74
240260005000003;648,71
240260005000004;595,68
240260005000005;940,29
240260005000006;731,83
240260005000007;904,52
240260005000008;1158,29
240260005000009;1185,06
240260005000010;724,91
240260005000011;785,68
240260005000012;717
240260005000013;963,94
240260005000014;1000,32
240260005000015;609,21
240260005000016;835,4
240260005000017;610,38
240260005000018;565,26
240260005000019;519,91
240260005000020;524,44
240260005000021;650,45
240260005000022;792,66
240260005000023;1252,79
240260005000024;620,25
240260005000025;409,18
240260005000026;397
240260005000027;475,65
240260005000028;427,48
240260005000029;492,14
240260005000030;623,71
240260005000031;461,86
240260005000032;541,51
240260005000033;732,76
240260005000034;859,3
240260005000035;590,71
240260005000036;616,86
240260005000037;509,61
240260005000038;490,44
240260005000039;473,96
240260005000040;476,91
240260005000042;443,84
240260005000043;487,03
240260005000044;410,39
240260005000045;423,31
240260005000046;489,65
240260005000047;477,84
240260005000048;433,85
240260005000049;573,51
240260005000050;576,11
240260005000051;396,57
240260005000052;521,06
240260005000053;371,9
240260005000054;443,73
240260005000055;416,74
240260005000056;421,57
240260005000057;586,23
240260005000058;463,89
240260005000059;479,17
240260005000060;456,83
240260005000061;443,96
240260005000062;504,35
240260005000063;501,73
240260005000064;432,15
240260005000065;404,94
240260005000066;363,95
240260005000067;413,89
240260005000068;517,4
240260005000069;472,38
240260005000070;670,64
240260005000071;634,65
240260005000072;1166,15
240260005000073;731,76
240260005000074;631,61
240260005000075;619,82
240260005000076;637,22
240260005000077;509,27
240260005000078;452,73
240260005000079;447,99
240260005000080;434,43
240260005000081;556,02
240260005000082;336,75
240260005000083;453,71
240260005000084;506,49
240260005000085;482,64
240260005000086;491,04
240260005000087;445,35
240260005000088;560,24
240260005000089;621,64
240260005000090;535,99
240260005000091;512,1
240260005000092;474,14
240260005000093;479,77
240260005000094;373,06
240260005000095;485,21
240270905000001;408,93
240270905000002;864,91
240270905000003;612,45
240270905000004;750,19
240270905000005;413,91
240270905000006;530,34
240270905000007;355,07
240270905000008;405,1
240270905000009;451,13
240270905000010;298,79
240270905000011;310,71
240270905000012;394,57
240270905000013;464,65
240270905000014;635,1
240270905000015;232,48
240270905000016;397,43
240270905000017;362,09
240280805000001;675,42
240280805000002;571,04
240280805000003;355,83
240280805000004;356,97
240280805000005;375,9
240280805000006;386,45
240280805000007;545,83
240290705000001;605,28
240290705000002;479,26
240290705000003;368,8
240290705000004;385,58
240290705000005;350,06
240290705000006;470,91
240290705000007;339,19
240300405000001;681,76
240300405000002;763,9
240300405000003;562,74
240300405000004;648,42
240300405000005;968,65
240300405000006;724,79
240300405000007;379,47
240300405000008;455,83
240300405000009;570,02
240300405000010;489,23
240300405000011;463,07
240300405000012;427,91
240300405000013;502,52
240300405000014;449,91
240300405000015;484,76
240300405000016;340,96
240300405000017;350,67
240310305000001;1282,47
240310305000002;1223,52
240310305000003;610,28
240310305000004;933,65
240310305000005;1489,81
240310305000006;917,93
240310305000007;1399,9
240310305000008;1253,72
240310305000009;1051,02
240310305000010;978,59
240310305000011;2545,17
240310305000012;661,72
240310305000013;570,25
240310305000014;499,55
240310305000015;581,44
240310305000016;586,54
240310305000017;1106,31
240310305000018;585,54
240310305000019;1306
240310305000020;499,23
240310305000021;412,89
240310305000022;349,38
240310305000023;1353,98
240310305000024;729,41
240310305000025;826,62
240310305000026;456
240310305000027;496,18
240310305000028;802,3
240310305000029;585,48
240310305000030;1012,02
240310305000031;644,36
240310305000032;398,39
240310305000033;452,48
240310305000034;369,59
240310305000035;367,93
240310305000036;392,02
240310305000037;402,01
240310305000038;496,86
240310305000039;500,06
240310305000040;465,8
240310305000041;512,31
240310305000042;699,43
240310305000043;1013,3
240310305000044;802,28
240310305000046;733,18
240310305000047;1069,89
240310305000048;1340,47
240310305000049;844,87
240310305000050;1005,89
240310305000051;722,93
240310305000052;803,49
240310305000053;510
240310305000054;1128,25
240310305000055;483,07
240310305000056;515,58
240310305000057;1520,15
240310305000058;369
240310305000059;741,38
240310305000060;1093,97
240310305000061;408,67
240310305000062;513,81
240310305000063;998,32
240310305000064;648,93
240310305000065;571,4
240310305000066;501,87
240310305000067;519,89
240320205000001;645,44
240320205000002;549,06
240320205000003;406,02
240320205000004;476,4
240320205000005;391,11
240320205000006;419,28
240320205000007;425,26
240320205000008;643,5
240320205000009;540,56
240320205000010;527,9
240320205000011;406,11
240325105000001;1485,23
240325105000002;1445,29
240325105000003;1298,69
240325105000004;1175,55
240325105000005;1052,24
240325105000006;1495,28
240325105000007;1005,97
240325105000008;1056,58
240325105000009;1045,69
240325105000010;735,13
240325105000011;630,68
240325105000012;1034,42
240325105000013;1115,27
240325105000014;1014,63
240325105000015;1373,24
240325105000016;1793,17
240325105000017;2111,17
240325105000018;2058,77
240325105000019;972,51
240325105000020;2187,23
240325105000021;950,9
240325105000022;958,74
240325105000023;1062,81
240325105000024;843,45
240325105000025;634,99
240325105000026;902,31
240325105000027;765,23
240325105000028;771,02
240325105000029;955,07
240325105000030;732,29
240325105000031;825,9
240325105000032;765,81
240325105000033;601,43
240325105000034;750,99
240325105000035;1039,45
240325105000036;895,1
