ID;LNG_LOJA;LAT_LOJA;LNG_FRIGO;LAT_FRIGO
boi480;-35,3039;-5,7863;-47,2759707;-3,2745553
boi481;-37,0913;-6,4448;-41,908636;-21,57727671
boi482;-37,0913;-6,4448;-50,61128172;-9,364055729
boi483;-37,0913;-6,4448;-49,63526941;-6,917778413
boi484;-37,0913;-6,4448;-50,0245774;-8,0544324
boi485;-37,0913;-6,4448;-50,20197358;-19,73194752
boi486;-37,0913;-6,4448;-54,61574357;-20,45802999
boi487;-37,0913;-6,4448;-50,0245774;-8,0544324
boi488;-37,0913;-6,4448;-46,78881014;-23,533612
boi489;-37,0913;-6,4448;-54,56456909;-19,39552137
boi490;-37,0913;-6,4448;-50,92968093;-17,7945434
boi491;-37,0913;-6,4448;-56,14466374;-15,65806482
boi492;-37,0913;-6,4448;-34,91058339;-7,82837199
boi493;-37,0913;-6,4448;-56,14466374;-15,65806482
boi494;-37,0913;-6,4448;-51,40520808;-26,90316461
boi495;-35,2277;-5,814;-50,57021361;-14,74758948
boi496;-35,2277;-5,814;-60,1692209;-12,7311703
boi497;-35,2277;-5,814;-50,61128172;-9,364055729
boi498;-35,2277;-5,814;-50,0245774;-8,0544324
boi499;-35,2277;-5,814;-46,82124801;-22,4360055
boi500;-35,2277;-5,814;-51,40520808;-26,90316461
boi501;-35,2277;-5,814;-54,56456909;-19,39552137
boi502;-35,2277;-5,814;-46,92209251;-23,449453
boi503;-35,2638;-5,9271;-35,48996498;-6,852715
boi504;-35,2638;-5,9271;-50,0245774;-8,0544324
boi505;-35,2676;-5,9265;-50,61128172;-9,364055729
boi506;-37,0914;-6,4449;-49,63526941;-6,917778413
boi507;-37,0914;-6,4449;-50,43015506;-6,772978677
boi508;-37,0914;-6,4449;-50,61128172;-9,364055729
boi509;-35,3285;-5,7921;-48,27795018;-18,91899861
boi510;-35,3285;-5,7921;-50,92968093;-17,7945434
boi511;-35,3285;-5,7921;-46,78881014;-23,533612
boi512;-35,3285;-5,7921;-52,55466719;-17,56616757
boi513;-35,3285;-5,7921;-51,94384677;-29,60742262
boi514;-35,3285;-5,7921;-56,79796312;-14,09555753
boi515;-35,3024;-5,7031;-48,28029255;-17,30058111
boi516;-35,3024;-5,7031;-48,56737784;-20,55845552
boi517;-35,3024;-5,7031;-52,02397107;-27,23365878
boi518;-35,3024;-5,7031;-56,11000525;-13,83272569
boi519;-35,3024;-5,7031;-48,27795018;-18,91899861
